# text = vascular membrane that lines the inner surface of long bones
# id = 05319144-n-1
# type = def
1	vascular	wf	JJ	vascular%3	vascular%3:01:00::	auto	0:8
19	atrium	cf|b	NN	atrium%1	_	un	85:91
20	and	wf	CC	and	_	ignore	92:95
21	pumps	wf	VB	pump%1|pump%2	pump%2:33:00::	man	96:101
22	it	wf	PRP	it	_	ignore	102:104
23	into	wf	IN	into	_	ignore	105:109
24	the	wf	DT	the	_	ignore	110:113
25	aorta	wf	NN	aorta%1	aorta%1:08:00::	auto	114:119

# text = a valve to control one-way flow of blood
# id = 05395098-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	valve	wf	NN	valve%1	valve%1:08:00::	man	2:7
3	to	wf	TO	to	_	ignore	8:10
4	control	wf	VB	control%1|control%2	_	un	11:18
5	one-way	wf	JJ	one-way%3	one-way%5:00:00:unidirectional:00	auto	19:26
6	flow	wf	NN	flow%1|flow%2	_	un	27:31
7	of	wf	IN	of	_	ignore	32:34
8	blood	wf	NN	blood%1|blood%2	blood%1:08:00::	man	35:40

# text = any chamber that is connected to other chambers or passageways (especially one of the two upper chambers of the heart)
# id = 05393023-n-1
# type = def
1	any	wf	DT	any	_	ignore	0:3
2	chamber	wf	NN	chamber%1|chamber%2	chamber%1:08:00::	man	4:11
3	that	wf	WDT	that	_	ignore	12:16
4	is	wf	VBZ	i%1|be%2	_	un	17:19
5	connected	wf	VBN	connect%2|connected%3	_	un	20:29
6	to	wf	TO	to	_	ignore	30:32
7	other	wf	JJ	other%3	_	un	33:38
8	chambers	wf	NNS	chamber%1|chamber%2	chamber%1:08:00::	man	39:47
9	or	wf	CC	or	_	ignore	48:50
10	passageways	wf	NNS	passageway%1	_	un	51:62
11	(	wf	punc	_	_	ignore	63:64
12	especially	wf	RB	especially%4	_	ignore	64:74
13	one	wf	CD	one	_	ignore	75:78
14	of	wf	IN	of	_	ignore	79:81
15	the	wf	DT	the	_	ignore	82:85
16	two	wf	CD	two	_	ignore	86:89
17	upper	wf	JJ	upper%1|upper%3	_	un	90:95
18	chambers	wf	NNS	chamber%1|chamber%2	chamber%1:08:00::	man	96:104
19	of	wf	IN	of	_	ignore	105:107
20	the	wf	DT	the	_	ignore	108:111
21	heart	wf	NN	heart%1	heart%1:08:00::	man	112:117
22	)	wf	punc	_	_	ignore	117:118

# text = the right upper chamber of the heart that receives blood from the venae cavae and coronary sinus
# id = 05393429-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	right	wf	JJ	right%1|right%2|right%3|right%4	_	un	4:9
3	upper	wf	JJ	upper%1|upper%3	_	un	10:15
4	chamber	wf	NN	chamber%1|chamber%2	chamber%1:08:00::	man	16:23
5	of	wf	IN	of	_	ignore	24:26
6	the	wf	DT	the	_	ignore	27:30
7	heart	wf	NN	heart%1	heart%1:08:00::	man	31:36
8	that	wf	WDT	that	_	ignore	37:41
9	receives	wf	VBZ	receive%2	_	un	42:50
10	blood	wf	NN	blood%1|blood%2	blood%1:08:00::	man	51:56
11	from	wf	IN	from	_	ignore	57:61
12	the	wf	DT	the	_	ignore	62:65
13	_	glob|b	_	vena_cava%1	vena_cava%1:08:00::	auto	_
14	venae	cf|b	NN	vena%1	_	un	66:71
15	cavae	cf|b	NN	cava%1	_	un	72:77
16	and	wf	CC	and	_	ignore	78:81
17	_	glob|a	_	coronary_sinus%1	coronary_sinus%1:08:00::	auto	_
18	coronary	cf|a	JJ	coronary%1|coronary%3	_	un	82:90
19	sinus	cf|a	NN	sinus%1	_	un	91:96

# text = valve with two cusps; situated between the left atrium and the left ventricle
# id = 05393813-n-1
# type = def
1	valve	wf	NN	valve%1	valve%1:08:00::	man	0:5
2	with	wf	IN	with	_	ignore	6:10
3	two	wf	CD	two	_	ignore	11:14
4	cusps	wf	NNS	cusp%1	cusp%1:08:01::	man	15:20
5	;	wf	punc	_	_	ignore	20:21
6	situated	wf	VBN	situate%2|situated%3	situate%2:42:00::	man	22:30
7	between	wf	IN	between%4	_	un	31:38
8	the	wf	DT	the	_	ignore	39:42
9	_	glob|b	_	left_atrium%1	left_atrium%1:08:00::	auto	_
10	left	cf|b	JJ	left%1|leave%2|left%3|left%4	_	un	43:47
11	atrium	cf|b	NN	atrium%1	_	un	48:54
12	and	wf	CC	and	_	ignore	55:58
13	the	wf	DT	the	_	ignore	59:62
14	_	glob|a	_	left_ventricle%1	left_ventricle%1:08:00::	auto	_
15	left	cf|a	JJ	left%1|leave%2|left%3|left%4	_	un	63:67
16	ventricle	cf|a	NN	ventricle%1	_	un	68:77

# text = a small valve
# id = 05395548-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	small	wf	JJ	small%1|small%3|small%4	small%3:00:00::	man	2:7
3	valve	wf	NN	valve%1	valve%1:06:00::	man	8:13

# text = the left upper chamber of the heart that receives blood from the pulmonary veins
# id = 05393629-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	left	wf	JJ	left%1|leave%2|left%3|left%4	_	un	4:8
3	upper	wf	JJ	upper%1|upper%3	_	un	9:14
4	chamber	wf	NN	chamber%1|chamber%2	chamber%1:08:00::	man	15:22
5	of	wf	IN	of	_	ignore	23:25
6	the	wf	DT	the	_	ignore	26:29
7	heart	wf	NN	heart%1	heart%1:08:00::	man	30:35
8	that	wf	WDT	that	_	ignore	36:40
9	receives	wf	VBZ	receive%2	_	un	41:49
10	blood	wf	NN	blood%1|blood%2	blood%1:08:00::	man	50:55
11	from	wf	IN	from	_	ignore	56:60
12	the	wf	DT	the	_	ignore	61:64
13	_	glob|a	_	pulmonary_vein%1	pulmonary_vein%1:08:00::	auto	_
14	pulmonary	cf|a	JJ	pulmonary%3	_	un	65:74
15	veins	cf|a	NNS	vein%1|vein%2	_	un	75:80

# text = a node of specialized heart muscle located in the septal wall of the right atrium; receives impulses from the sinoatrial node and transmits them to atrioventricular bundle
# id = 05390761-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	node	wf	NN	node%1	node%1:25:01::	man	2:6
3	of	wf	IN	of	_	ignore	7:9
4	specialized	wf	JJ	specialize%2|specialized%3	_	un	10:21
5	_	glob|a	_	heart_muscle%1	heart_muscle%1:08:00::	auto	_
6	heart	cf|a	NN	heart%1	_	un	22:27
7	muscle	cf|a	NN	muscle%1|muscle%2	_	un	28:34
8	located	wf	VBN	locate%2|located%3	_	un	35:42
9	in	wf	IN	in	_	ignore	43:45
10	the	wf	DT	the	_	ignore	46:49
11	septal	wf	JJ	septal%3	septal%3:01:00::	auto	50:56
12	wall	wf	NN	wall%1|wall%2	_	un	57:61
13	of	wf	IN	of	_	ignore	62:64
14	the	wf	DT	the	_	ignore	65:68
15	_	glob|b	_	right_atrium%1	right_atrium%1:08:00::	auto	_
16	right	cf|b	JJ	right%1|right%2|right%3|right%4	_	un	69:74
17	atrium	cf|b	NN	atrium%1	_	un	75:81
18	;	wf	punc	_	_	ignore	81:82
19	receives	wf	VBZ	receive%2	_	un	83:91
20	impulses	wf	NNS	impulse%1	impulse%1:11:00::	man	92:100
21	from	wf	IN	from	_	ignore	101:105
22	the	wf	DT	the	_	ignore	106:109
23	_	glob|d	_	sinoatrial_node%1	sinoatrial_node%1:08:00::	auto	_
24	sinoatrial	cf|d	JJ	sinoatrial	_	un	110:120
25	node	cf|d	NN	node%1	_	un	121:125
26	and	wf	CC	and	_	ignore	126:129
27	transmits	wf	VBZ	transmit%2	transmit%2:38:00::	man	130:139
28	them	wf	PRP	them	_	ignore	140:144
29	to	wf	TO	to	_	ignore	145:147
30	_	glob|c	_	atrioventricular_bundle%1	atrioventricular_bundle%1:08:00::	auto	_
31	atrioventricular	cf|c	JJ	atrioventricular%3	_	un	148:164
32	bundle	cf|c	NN	bundle%1|bundle%2	_	un	165:171

# text = a heart valve with cusps shaped like half-moons; prevents blood from flowing back into the heart
# id = 05394904-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	_	glob|a	_	heart_valve%1	heart_valve%1:08:00::	man	_
3	heart	cf|a	NN	heart%1	_	un	2:7
4	valve	cf|a	NN	valve%1	_	un	8:13
5	with	wf	IN	with	_	ignore	14:18
6	cusps	wf	NNS	cusp%1	cusp%1:08:01::	man	19:24
7	shaped	wf	VBN	shape%2|shaped%3	shape%2:36:00::	man	25:31
8	like	wf	IN	like%1|like%2|like%3	like%3:00:00::	man	32:36
9	half-moons	wf	NN	half-moon%1	half-moon%1:28:00::	man	37:47
10	;	wf	punc	_	_	ignore	47:48
11	prevents	wf	VBZ	prevent%2	prevent%2:41:00::	man	49:57
12	blood	wf	NN	blood%1|blood%2	blood%1:08:00::	man	58:63
13	from	wf	IN	from	_	ignore	64:68
14	flowing	wf	VBG	flowing%1|flow%2|flowing%3	_	un	69:76
15	back	wf	RB	back%1|back%2|back%3|back%4	back%4:02:04::	man	77:81
16	into	wf	IN	into	_	ignore	82:86
17	the	wf	DT	the	_	ignore	87:90
18	heart	wf	NN	heart%1	heart%1:08:00::	man	91:96

# text = a semilunar valve between the left ventricle and the aorta; prevents blood from flowing from the aorta back into the heart
# id = 05394526-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	_	glob|a	_	semilunar_valve%1	semilunar_valve%1:08:00::	auto	_
3	semilunar	cf|a	JJ	semilunar%3	_	un	2:11
4	valve	cf|a	NN	valve%1	_	un	12:17
5	between	wf	IN	between%4	_	un	18:25
6	the	wf	DT	the	_	ignore	26:29
7	_	glob|b	_	left_ventricle%1	left_ventricle%1:08:00::	auto	_
8	left	cf|b	JJ	left%1|leave%2|left%3|left%4	_	un	30:34
9	ventricle	cf|b	NN	ventricle%1	_	un	35:44
10	and	wf	CC	and	_	ignore	45:48
11	the	wf	DT	the	_	ignore	49:52
12	aorta	wf	NN	aorta%1	aorta%1:08:00::	auto	53:58
13	;	wf	punc	_	_	ignore	58:59
14	prevents	wf	VBZ	prevent%2	prevent%2:41:00::	man	60:68
15	blood	wf	NN	blood%1|blood%2	blood%1:08:00::	man	69:74
16	from	wf	IN	from	_	ignore	75:79
17	flowing	wf	VBG	flowing%1|flow%2|flowing%3	flow%2:38:00::	man	80:87
18	from	wf	IN	from	_	ignore	88:92
19	the	wf	DT	the	_	ignore	93:96
20	aorta	wf	NN	aorta%1	aorta%1:08:00::	auto	97:102
21	back	wf	NN	back%1|back%2|back%3|back%4	back%4:02:04::	man	103:107
22	into	wf	IN	into	_	ignore	108:112
23	the	wf	DT	the	_	ignore	113:116
24	heart	wf	NN	heart%1	heart%1:08:00::	man	117:122

# text = the major duct of the lymphatic system
# id = 05396690-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	major	wf	JJ	major%1|major%2|major%3	major%3:00:06::	man	4:9
3	duct	wf	NN	duct%1	duct%1:08:00::	man	10:14
4	of	wf	IN	of	_	ignore	15:17
5	the	wf	DT	the	_	ignore	18:21
6	_	glob|a	_	lymphatic_system%1	lymphatic_system%1:08:00::	auto	_
7	lymphatic	cf|a	JJ	lymphatic%3	_	un	22:31
8	system	cf|a	NN	system%1	_	un	32:38

# text = a semilunar valve between the right ventricle and the pulmonary artery; prevents blood from flowing from the artery back into the heart
# id = 05394707-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	_	glob|c	_	semilunar_valve%1	semilunar_valve%1:08:00::	auto	_
3	semilunar	cf|c	JJ	semilunar%3	_	un	2:11
4	valve	cf|c	NN	valve%1	_	un	12:17
5	between	wf	IN	between%4	_	un	18:25
6	the	wf	DT	the	_	ignore	26:29
7	_	glob|b	_	right_ventricle%1	right_ventricle%1:08:00::	auto	_
8	right	cf|b	JJ	right%1|right%2|right%3|right%4	_	un	30:35
9	ventricle	cf|b	NN	ventricle%1	_	un	36:45
10	and	wf	CC	and	_	ignore	46:49
11	the	wf	DT	the	_	ignore	50:53
12	_	glob|a	_	pulmonary_artery%1	pulmonary_artery%1:08:00::	man	_
13	pulmonary	cf|a	JJ	pulmonary%3	_	un	54:63
14	artery	cf|a	NN	artery%1	_	un	64:70
15	;	wf	punc	_	_	ignore	70:71
16	prevents	wf	VBZ	prevent%2	prevent%2:41:00::	man	72:80
17	blood	wf	NN	blood%1|blood%2	blood%1:08:00::	man	81:86
18	from	wf	IN	from	_	ignore	87:91
19	flowing	wf	VBG	flowing%1|flow%2|flowing%3	flow%2:38:00::	man	92:99
20	from	wf	IN	from	_	ignore	100:104
21	the	wf	DT	the	_	ignore	105:108
22	artery	wf	NN	artery%1	artery%1:08:00::	man	109:115
23	back	wf	NN	back%1|back%2|back%3|back%4	back%4:02:04::	man	116:120
24	into	wf	IN	into	_	ignore	121:125
25	the	wf	DT	the	_	ignore	126:129
26	heart	wf	NN	heart%1	heart%1:08:00::	man	130:135

# text = valve with three cusps; situated between the right atrium and the right ventricle; allows blood to pass from atrium to ventricle and closes to prevent backflow when the ventricle contracts
# id = 05393996-n-1
# type = def
1	valve	wf	NN	valve%1	valve%1:08:00::	man	0:5
2	with	wf	IN	with	_	ignore	6:10
3	three	wf	CD	three	_	ignore	11:16
4	cusps	wf	NNS	cusp%1	cusp%1:08:01::	man	17:22
5	;	wf	punc	_	_	ignore	22:23
6	situated	wf	VBN	situate%2|situated%3	situate%2:42:00::	man	24:32
7	between	wf	IN	between%4	_	un	33:40
8	the	wf	DT	the	_	ignore	41:44
9	_	glob|b	_	right_atrium%1	right_atrium%1:08:00::	auto	_
10	right	cf|b	JJ	right%1|right%2|right%3|right%4	_	un	45:50
11	atrium	cf|b	NN	atrium%1	_	un	51:57
12	and	wf	CC	and	_	ignore	58:61
13	the	wf	DT	the	_	ignore	62:65
14	_	glob|a	_	right_ventricle%1	right_ventricle%1:08:00::	auto	_
15	right	cf|a	JJ	right%1|right%2|right%3|right%4	_	un	66:71
16	ventricle	cf|a	NN	ventricle%1	_	un	72:81
17	;	wf	punc	_	_	ignore	81:82
18	allows	wf	VBZ	allow%2	_	un	83:89
19	blood	wf	NN	blood%1|blood%2	blood%1:08:00::	man	90:95
20	to	wf	TO	to	_	ignore	96:98
21	pass	wf	VB	pass%1|pass%2|pass%3	_	un	99:103
22	from	wf	IN	from	_	ignore	104:108
23	atrium	wf	NN	atrium%1	atrium%1:08:00::	man	109:115
24	to	wf	TO	to	_	ignore	116:118
25	ventricle	wf	NN	ventricle%1	ventricle%1:08:01::	man	119:128
26	and	wf	CC	and	_	ignore	129:132
27	closes	wf	VBZ	close%1|close%2	_	un	133:139
28	to	wf	TO	to	_	ignore	140:142
29	prevent	wf	VB	prevent%2	prevent%2:41:01::	man	143:150
30	backflow	wf	NN	backflow%1	backflow%1:11:00::	auto	151:159
31	when	wf	WRB	when	_	ignore	160:164
32	the	wf	DT	the	_	ignore	165:168
33	ventricle	wf	NN	ventricle%1	ventricle%1:08:01::	man	169:178
34	contracts	wf	NNS	contract%1|contract%2	contract%2:35:04::	man	179:188

# text = the region lying on or over the stomach (just below the sternum)
# id = 05396071-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	region	wf	NN	region%1	region%1:08:00::	man	4:10
3	lying	wf	VBG	lying%1|lie%2	lie%2:42:00::	man	11:16
4	on	wf	IN	on	_	ignore	17:19
5	or	wf	CC	or	_	ignore	20:22
6	over	wf	IN	over%1|over%3|over%4	_	un	23:27
7	the	wf	DT	the	_	ignore	28:31
8	stomach	wf	NN	stomach%1|stomach%2	stomach%1:08:00::	man	32:39
9	(	wf	punc	_	_	ignore	40:41
10	just	wf	RB	just%3|just%4	_	un	41:45
11	below	wf	IN	below%4	_	un	46:51
12	the	wf	DT	the	_	ignore	52:55
13	sternum	wf	NN	sternum%1	sternum%1:08:00::	auto	56:63
14	)	wf	punc	_	_	ignore	63:64

# text = a structure in a hollow organ (like the heart) with a flap to insure one-way flow of fluid through it
# id = 05395286-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	structure	wf	NN	structure%1|structure%2	structure%1:08:00::	man	2:11
3	in	wf	IN	in	_	ignore	12:14
4	a	wf	DT	a	_	ignore	15:16
5	hollow	wf	JJ	hollow%1|hollow%2|hollow%3	_	un	17:23
6	organ	wf	NN	organ%1	organ%1:08:00::	man	24:29
7	(	wf	punc	_	_	ignore	30:31
8	like	wf	IN	like%1|like%2|like%3	like%3:00:00::	man	31:35
9	the	wf	DT	the	_	ignore	36:39
10	heart	wf	NN	heart%1	heart%1:08:00::	man	40:45
11	)	wf	punc	_	_	ignore	45:46
12	with	wf	IN	with	_	ignore	47:51
13	a	wf	DT	a	_	ignore	52:53
14	flap	wf	NN	flap%1|flap%2	flap%1:08:00::	man	54:58
15	to	wf	TO	to	_	ignore	59:61
16	insure	wf	VB	insure%2	insure%2:32:04::	man	62:68
17	one-way	wf	JJ	one-way%3	one-way%5:00:00:unidirectional:00	auto	69:76
18	flow	wf	NN	flow%1|flow%2	_	un	77:81
19	of	wf	IN	of	_	ignore	82:84
20	fluid	wf	NN	fluid%1|fluid%3	fluid%1:27:02::	man	85:90
21	through	wf	IN	through%3|through%4	_	un	91:98
22	it	wf	PRP	it	_	ignore	99:101

# text = an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion
# id = 05395690-n-1
# type = def
1	an	wf	DT	an	_	ignore	0:2
2	enlarged	wf	JJ	enlarge%2|enlarged%3	enlarged%3:00:04::	man	3:11
3	and	wf	CC	and	_	ignore	12:15
4	muscular	wf	JJ	muscular%3	muscular%3:01:00::	man	16:24
5	saclike	wf	JJ	saclike%3	saclike%5:00:00:concave:00	auto	25:32
6	organ	wf	NN	organ%1	organ%1:08:00::	man	33:38
7	of	wf	IN	of	_	ignore	39:41
8	the	wf	DT	the	_	ignore	42:45
9	_	glob|a	_	alimentary_canal%1	alimentary_canal%1:08:00::	auto	_
10	alimentary	cf|a	JJ	alimentary%3	_	un	46:56
11	canal	cf|a	NN	canal%1|canal%2	_	un	57:62
12	;	wf	punc	_	_	ignore	62:63
13	the	wf	DT	the	_	ignore	64:67
14	principal	wf	JJ	principal%1|principal%3	principal%5:00:00:important:00	man	68:77
15	organ	wf	NN	organ%1	organ%1:08:00::	man	78:83
16	of	wf	IN	of	_	ignore	84:86
17	digestion	wf	NN	digestion%1	digestion%1:22:00::	man	87:96

# text = the opening into the stomach and that part of the stomach connected to the esophagus
# id = 05396229-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	opening	wf	NN	opening%1|open%2|opening%3	open%2:40:04::	man	4:11
3	into	wf	IN	into	_	ignore	12:16
4	the	wf	DT	the	_	ignore	17:20
5	stomach	wf	NN	stomach%1|stomach%2	stomach%1:08:00::	man	21:28
6	and	wf	CC	and	_	ignore	29:32
7	that	wf	DT	that	_	ignore	33:37
8	part	wf	NN	part%1|part%2|part%4	_	un	38:42
9	of	wf	IN	of	_	ignore	43:45
10	the	wf	DT	the	_	ignore	46:49
11	stomach	wf	NN	stomach%1|stomach%2	stomach%1:08:00::	man	50:57
12	connected	wf	VBN	connect%2|connected%3	_	un	58:67
13	to	wf	TO	to	_	ignore	68:70
14	the	wf	DT	the	_	ignore	71:74
15	esophagus	wf	NN	esophagus%1	esophagus%1:08:00::	auto	75:84

# text = the liquid parts of the body
# id = 05397468-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	liquid	wf	JJ	liquid%1|liquid%3	liquid%3:00:00::	man	4:10
3	parts	wf	NNS	part%1|parts%1|part%2	_	un	11:16
4	of	wf	IN	of	_	ignore	17:19
5	the	wf	DT	the	_	ignore	20:23
6	body	wf	NN	body%1|body%2	body%1:08:00::	man	24:28

# text = a tube in which a body fluid circulates
# id = 05397333-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	tube	wf	NN	tube%1|tube%2	tube%1:08:00::	man	2:6
3	in	wf	IN	in	_	ignore	7:9
4	which	wf	WDT	which	_	ignore	10:15
5	a	wf	DT	a	_	ignore	16:17
6	_	glob|a	_	body_fluid%1	body_fluid%1:08:00::	auto	_
7	body	cf|a	NN	body%1|body%2	_	un	18:22
8	fluid	cf|a	NN	fluid%1|fluid%3	_	un	23:28
9	circulates	wf	VBZ	circulate%2	circulate%2:38:01::	man	29:39

# text = a structure composed of or provided with blood vessels
# id = 05397178-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	structure	wf	NN	structure%1|structure%2	structure%1:08:00::	man	2:11
3	composed	wf	VBN	compose%2|composed%3	_	un	12:20
4	of	wf	IN	of	_	ignore	21:23
5	or	wf	CC	or	_	ignore	24:26
6	_	glob|b	_	provided_with%3	_	un	_
7	provided	cf|b	VBN	provide%2	_	un	27:35
8	with	cf|b	IN	with	_	ignore	36:40
9	_	glob|a	_	blood_vessel%1	blood_vessel%1:08:00::	auto	_
10	blood	cf|a	NN	blood%1|blood%2	_	un	41:46
11	vessels	cf|a	NNS	vessel%1	_	un	47:54

# text = the interconnected system of spaces and vessels between body tissues and organs by which lymph circulates throughout the body
# id = 05396366-n-1
# type = def
1	the	wf	DT	the	_	ignore	0:3
2	interconnected	wf	JJ	interconnect%2|interconnected%3	interconnected%5:00:00:reticulate:00	man	4:18
3	system	wf	NN	system%1	_	un	19:25
4	of	wf	IN	of	_	ignore	26:28
5	spaces	wf	NNS	space%1|space%2	_	un	29:35
6	and	wf	CC	and	_	ignore	36:39
7	vessels	wf	NNS	vessel%1	vessel%1:08:00::	man	40:47
8	between	wf	IN	between%4	_	un	48:55
9	body	wf	NN	body%1|body%2	body%1:08:00::	man	56:60
10	tissues	wf	NNS	tissue%1|tissue%2	tissue%1:08:00::	man	61:68
11	and	wf	CC	and	_	ignore	69:72
12	organs	wf	NNS	organ%1|organs%1	organ%1:08:00::	man	73:79
13	by	wf	IN	by	_	ignore	80:82
14	which	wf	WDT	which	_	ignore	83:88
15	lymph	wf	NN	lymph%1	lymph%1:08:00::	auto	89:94
16	circulates	wf	VBZ	circulate%2	circulate%2:38:01::	man	95:105
17	throughout	wf	IN	throughout%4	_	un	106:116
18	the	wf	DT	the	_	ignore	117:120
19	body	wf	NN	body%1|body%2	body%1:08:00::	man	121:125

# text = a vascular duct that carries lymph which is eventually added to the venous blood circulation
# id = 05396807-n-1
# type = def
1	a	wf	DT	a	_	ignore	0:1
2	vascular	wf	JJ	vascular%3	vascular%3:01:00::	auto	2:10
3	duct	wf	NN	duct%1	duct%1:08:00::	man	11:15
4	that	wf	WDT	that	_	ignore	16:20
5	carries	wf	VBZ	carry%1|carry%2	carry%2:35:02::	man	21:28
6	lymph	wf	NN	lymph%1	lymph%1:08:00::	auto	29:34
7	which	wf	WDT	which	_	ignore	35:40
8	is	wf	VBZ	i%1|be%2	_	un	41:43
9	eventually	wf	RB	eventually%4	_	un	44:54
10	added	wf	VBN	add%2	add%2:30:00::	man	55:60
11	to	wf	TO	to	_	ignore	61:63
12	the	wf	DT	the	_	ignore	64:67
13	_	glob|a	_	venous_blood%1	venous_blood%1:08:00::	auto	_
14	venous	cf|a	JJ	venous%3	_	un	68:74
15	blood	cf|a	NN	blood%1|blood%2	_	un	75:80
16	circulation	wf	NN	circulation%1	_	un	81:92

# text = any of the lymphatic vessels that convey chyle from the small intestine to the thoracic duct
# id = 05397032-n-1
# type = def
1	any	wf	DT	any	_	ignore	0:3
2	of	wf	IN	of	_	ignore	4:6
3	the	wf	DT	the	_	ignore	7:10
4	_	glob|a	_	lymphatic_vessel%1	lymphatic_vessel%1:08:00::	auto	_
5	lymphatic	cf|a	JJ	lymphatic%3	_	un	11:20
6	vessels	cf|a	NNS	vessel%1	_	un	21:28
7	that	wf	WDT	that	_	ignore	29:33
8	convey	wf	VB	convey%2	convey%2:38:02::	man	34:40
9	chyle	wf	NN	chyle%1	chyle%1:08:00::	auto	41:46
10	from	wf	IN	from	_	ignore	47:51
11	the	wf	DT	the	_	ignore	52:55
12	_	glob|b	_	small_intestine%1	small_intestine%1:08:00::	auto	_
13	small	cf|b	JJ	small%1|small%3|small%4	_	un	56:61
14	intestine	cf|b	NN	intestine%1	_	un	62:71
15	to	wf	TO	to	_	ignore	72:74
16	the	wf	DT	the	_	ignore	75:78
17	_	glob|c	_	thoracic_duct%1	thoracic_duct%1:08:00::	auto	_
18	thoracic	cf|c	JJ	thoracic%3	_	un	79:87
19	duct	cf|c	NN	duct%1	_	un	88:92

# text = either of two heart valves through which blood flows from the atria to the ventricles; prevents return of blood to the atrium
# id = 05394277-n-1
# type = def
1	either	wf	CC	either	_	ignore	0:6
2	of	wf	IN	of	_	ignore	7:9
3	two	wf	CD	two	_	ignore	10:13
4	_	glob|a	_	heart_valve%1	heart_valve%1:08:00::	man	_
5	heart	cf|a	NN	heart%1	_	un	14:19
6	valves	cf|a	NNS	valve%1	_	un	20:26
7	through	wf	IN	through%3|through%4	_	un	27:34
8	which	wf	WDT	which	_	ignore	35:40
9	blood	wf	NN	blood%1|blood%2	blood%1:08:00::	man	41:46
10	flows	wf	VBZ	flow%1|flow%2	flow%2:38:00::	man	47:52
11	from	wf	IN	from	_	ignore	53:57
12	the	wf	DT	the	_	ignore	58:61
13	atria	wf	NN	atrium%1	atrium%1:08:00::	man	62:67
14	to	wf	TO	to	_	ignore	68:70
15	the	wf	DT	the	_	ignore	71:74
16	ventricles	wf	NNS	ventricle%1	ventricle%1:08:01::	man	75:85
17	;	wf	punc	_	_	ignore	85:86
18	prevents	wf	VBZ	prevent%2	prevent%2:41:01::	man	87:95
19	return	wf	NN	return%1|return%2	_	un	96:102
20	of	wf	IN	of	_	ignore	103:105
21	blood	wf	NN	blood%1|blood%2	blood%1:08:00::	man	106:111
22	to	wf	TO	to	_	ignore	112:114
23	the	wf	DT	the	_	ignore	115:118
24	atrium	wf	NN	atrium%1	atrium%1:08:00::	man	119:125

# text = liquid contained inside the cell membranes (usually containing dissolved solutes)
# id = 05398462-n-1
# type = def
1	liquid	wf	NN	liquid%1|liquid%3	liquid%1:27:04::|liquid%1:27:00::	man	0:6
2	contained	wf	VBN	contain%2|contained%3	_	un	7:16
3	inside	wf	IN	inside%1|inside%3|inside%4	_	un	17:23
4	the	wf	DT	the	_	ignore	24:27
5	_	glob|a	_	cell_membrane%1	cell_membrane%1:08:00::	auto	_
6	cell	cf|a	NN	cell%1	_	un	28:32
7	membranes	cf|a	NNS	membrane%1	_	un	33:42
8	(	wf	punc	_	_	ignore	43:44
9	usually	wf	RB	usually%4	usually%4:02:00::	auto	44:51
10	containing	wf	VBG	contain%2	_	un	52:62
11	dissolved	wf	JJ	dissolve%2|dissolved%3	dissolve%2:30:00::	man	63:72
12	solutes	wf	NN	solute%1	solute%1:27:00::	auto	73:80
13	)	wf	punc	_	_	ignore	80:81

# text = milk secreted by a woman who has recently given birth
# id = 05399243-n-1
# type = def
1	milk	wf	NN	milk%1|milk%2	milk%1:08:00::	man	0:4
2	secreted	wf	VBN	secrete%2	secrete%2:29:00::	man	5:13
3	by	wf	IN	by	_	ignore	14:16
4	a	wf	DT	a	_	ignore	17:18
5	woman	wf	NN	woman%1	woman%1:18:00::	man	19:24
6	who	wf	WP	who	_	ignore	25:28
7	has	wf	VBZ	have%2	_	un	29:32
8	recently	wf	RB	recently%4	recently%4:02:00::	auto	33:41
9	_	glob|a	_	give_birth%2	give_birth%2:29:00::	man	_
10	given	cf|a	JJ	given%1|give%2|given%3	_	un	42:47
11	birth	cf|a	NN	birth%1|birth%2	_	un	48:53

# text = any of several liquids of the body; 
# id = 05398609-n-1
# type = def
1	any	wf	DT	any	_	ignore	0:3
2	of	wf	IN	of	_	ignore	4:6
3	several	wf	JJ	several%3	_	un	7:14
4	liquids	wf	NNS	liquid%1	liquid%1:27:00::|liquid%1:27:04::	man	15:22
5	of	wf	IN	of	_	ignore	23:25
6	the	wf	DT	the	_	ignore	26:29
7	body	wf	NN	body%1|body%2	body%1:08:00::	man	30:34
8	;	wf	punc	_	_	ignore	34:35

# text = digestive juices
