# text = neotenic development
# id = 02768421-a-2
# type = ex
1	neotenic	wf	_	neotenic%3	neotenic%3:01:00::	auto	0:8
# type = def
1	having	wf	VBG	have%2	_	un	0:6
2	a	wf	DT	a	_	ignore	7:8
3	single	wf	JJ	single%1|single%2|single%3	_	un	9:15
4	strand	wf	NN	strand%1|strand%2	strand%1:27:00::	man	16:22
5	;	wf	punc	_	_	ignore	22:23

# text = single-stranded RNA
# id = 02797907-a-2
# type = ex
1	single-stranded	wf	_	single-stranded%3	single-stranded%3:01:00::	auto	0:15
2	RNA	wf	_	RNA	rna%1:27:00::	auto	16:19

# text = relating to or concerned in sensation; 
# id = 02796425-a-1
# type = def
1	relating	wf	VBG	relate%2	relate%2:42:00::	man	0:8
2	to	wf	IN	to	_	ignore	9:11
3	or	wf	CC	or	_	ignore	12:14
4	concerned	wf	VBN	concern%2|concerned%3	concern%2:42:00::	man	15:24
5	in	wf	IN	in	_	ignore	25:27
6	sensation	wf	NN	sensation%1	_	un	28:37
7	;	wf	punc	_	_	ignore	37:38

# text = the sensory cortex
# id = 02796425-a-2
# type = ex
1	the	wf	_	the	_	ignore	0:3
2	sensory	wf	_	sensory%3	sensory%3:01:00::	auto	4:11
3	cortex	wf	_	cortex%1	_	un	12:18

# text = sensory organs
# id = 02796425-a-3
# type = ex
1	sensory	wf	_	sensory%3	sensory%3:01:00::	auto	0:7
2	organs	wf	_	organ%1|organs%1	_	un	8:14

# text = of or relating to the Sikhs or their religious beliefs and customs
# id = 02797550-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	TO	to	_	ignore	15:17
5	the	wf	DT	the	_	ignore	18:21
6	Sikhs	wf	NNP	Sikh%1	sikh%1:18:00::	man	22:27
7	or	wf	CC	or	_	ignore	28:30
8	their	wf	PRP$	their	_	ignore	31:36
9	_	glob|a	_	religious_belief%1	religious_belief%1:09:00::	auto	_
10	religious	cf|a	JJ	religious%1|religious%3	_	un	37:46
11	beliefs	cf|a	NNS	belief%1	_	un	47:54
12	and	wf	CC	and	_	ignore	55:58
13	customs	wf	NNS	custom%1|customs%1	custom%1:09:00::	man	59:66

# text = of or relating to the stars or constellations; 
# id = 02797408-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	the	wf	DT	the	_	ignore	18:21
6	stars	wf	NNS	star%1|star%2	star%1:17:00::	man	22:27
7	or	wf	CC	or	_	ignore	28:30
8	constellations	wf	NNS	constellation%1	constellation%1:17:00::	man	31:45
9	;	wf	punc	_	_	ignore	45:46

# text = sidereal bodies
# id = 02797408-a-2
# type = ex
1	sidereal	wf	_	sidereal%3	sidereal%3:01:00::	auto	0:8
2	bodies	wf	_	body%1|body%2	_	un	9:15

# text = the sidereal system
# id = 02797408-a-3
# type = ex
1	the	wf	_	the	_	ignore	0:3
2	sidereal	wf	_	sidereal%3	sidereal%3:01:00::	auto	4:12
3	system	wf	_	system%1	_	un	13:19

# text = relating to or containing or resembling silica; 
# id = 02797704-a-1
# type = def
1	relating	wf	VBG	relate%2	relate%2:42:00::	man	0:8
2	to	wf	IN	to	_	ignore	9:11
3	or	wf	CC	or	_	ignore	12:14
4	containing	wf	VBG	contain%2	_	un	15:25
5	or	wf	CC	or	_	ignore	26:28
6	resembling	wf	VBG	resemble%2	resemble%2:42:00::	auto	29:39
7	silica	wf	NN	silica%1	silica%1:27:00::	auto	40:46
8	;	wf	punc	_	_	ignore	46:47

# text = gritrock is siliceous sandstone
# id = 02797704-a-2
# type = ex
1	gritrock	wf	_	gritrock%1	_	un	0:8
2	is	wf	_	i%1|be%2	_	un	9:11
3	siliceous	wf	_	siliceous%3	siliceous%3:01:00::	auto	12:21
4	sandstone	wf	_	sandstone%1	sandstone%1:27:00::	man	22:31

# text = (of mountains) capped with a covering of snow
# id = 02798267-a-1
# type = def
1	(	wf	punc	_	_	ignore	0:1
2	of	wf	IN	of	_	ignore	1:3
3	mountains	wf	NNS	mountain%1	mountain%1:17:00::	man	4:13
4	)	wf	punc	_	_	ignore	13:14
5	capped	wf	VBN	cap%2|capped%3	capped%5:00:00:crowned:00	man	15:21
6	with	wf	IN	with	_	ignore	22:26
7	a	wf	DT	a	_	ignore	27:28
8	covering	wf	NN	covering%1|cover%2	_	un	29:37
9	of	wf	IN	of	_	ignore	38:40
10	snow	wf	NN	snow%1|snow%2	snow%1:27:00::	man	41:45

# text = of or relating to the Sioux people or their language and culture
# id = 02798014-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	TO	to	_	ignore	15:17
5	the	wf	DT	the	_	ignore	18:21
6	Sioux	wf	NNP	Sioux%1	sioux%1:18:00::	auto	22:27
7	people	wf	NNS	people%1|people%2	_	un	28:34
8	or	wf	CC	or	_	ignore	35:37
9	their	wf	PRP$	their	_	ignore	38:43
10	language	wf	NN	language%1	language%1:10:00::	man	44:52
11	and	wf	CC	and	_	ignore	53:56
12	culture	wf	NN	culture%1|culture%2	culture%1:09:01::	man	57:64

# text = of or relating to a sociopathic personality disorder
# id = 02799173-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	a	wf	DT	a	_	ignore	18:19
6	_	glob|a	_	sociopathic_personality%1	sociopathic_personality%1:26:00::	auto	_
7	sociopathic	cf|a	JJ	sociopathic%3	_	un	20:31
8	personality	cf|a	NN	personality%1	_	un	32:43
9	disorder	wf	NN	disorder%1|disorder%2	_	un	44:52

# text = of or relating to fish with soft fins
# id = 02798806-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	TO	to	_	ignore	15:17
5	fish	wf	VB	fish%1|fish%2	fish%1:05:00::	man	18:22
6	with	wf	IN	with	_	ignore	23:27
7	soft	wf	JJ	soft%3|soft%4	_	un	28:32
8	fins	wf	NNS	fin%1|fin%2	_	un	33:37

# text = of or relating to the somatosenses
# id = 02799595-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	the	wf	DT	the	_	ignore	18:21
6	somatosenses	wf	NNS	somatosense%1	somatosense%1:09:00::	auto	22:34

# text = affected by strabismus
# id = 02799797-a-1
# type = def
1	affected	wf	VBN	affect%2|affected%3	affect%2:29:00::	man	0:8
2	by	wf	IN	by	_	ignore	9:11
3	strabismus	wf	NN	strabismus%1	strabismus%1:26:00::	auto	12:22

# text = pertaining to or occurring in or producing a series; 
# id = 02797021-a-1
# type = def
1	pertaining	wf	VBG	pertain%2	pertain%2:42:01::	man	0:10
2	to	wf	IN	to	_	ignore	11:13
3	or	wf	CC	or	_	ignore	14:16
4	occurring	wf	VBG	occur%2	_	un	17:26
5	in	wf	IN	in	_	ignore	27:29
6	or	wf	CC	or	_	ignore	30:32
7	producing	wf	VBG	produce%2	produce%2:36:03::	man	33:42
8	a	wf	DT	a	_	ignore	43:44
9	series	wf	NN	series%1	_	un	45:51
10	;	wf	punc	_	_	ignore	51:52

# text = serial monogamy
# id = 02797021-a-2
# type = ex
1	serial	wf	_	serial%1|serial%3	serial%3:01:00::	auto	0:6
2	monogamy	wf	_	monogamy%1	_	un	7:15

# text = serial killing
# id = 02797021-a-3
# type = ex
1	serial	wf	_	serial%1|serial%3	serial%3:01:00::	auto	0:6
2	killing	wf	_	killing%1|kill%2|killing%3	_	un	7:14

# text = a serial killer
# id = 02797021-a-4
# type = ex
1	a	wf	_	a	_	ignore	0:1
2	serial	wf	_	serial%1|serial%3	serial%3:01:00::	auto	2:8
3	killer	wf	_	killer%1	_	un	9:15

# text = serial publication
# id = 02797021-a-5
# type = ex
1	serial	wf	_	serial%1|serial%3	serial%3:01:00::	auto	0:6
2	publication	wf	_	publication%1	_	un	7:18

# text = (of a bullet) made of soft material that expands on impact
# id = 02798901-a-1
# type = def
1	(	wf	punc	_	_	ignore	0:1
2	of	wf	IN	of	_	ignore	1:3
3	a	wf	DT	a	_	ignore	4:5
4	bullet	wf	NN	bullet%1	bullet%1:06:00::	man	6:12
5	)	wf	punc	_	_	ignore	12:13
6	made	wf	VBN	make%2|made%3	make%2:42:05::	man	14:18
7	of	wf	IN	of	_	ignore	19:21
8	soft	wf	JJ	soft%3|soft%4	_	un	22:26
9	material	wf	NN	material%1|material%3	material%1:27:00::	man	27:35
10	that	wf	WDT	that	_	ignore	36:40
11	expands	wf	VB	expand%2	_	un	41:48
12	on	wf	IN	on	_	ignore	49:51
13	impact	wf	NN	impact%1|impact%2	impact%1:11:00::	man	52:58

# text = of or relating to soteriology
# id = 02799689-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	soteriology	wf	NN	soteriology%1	soteriology%1:09:00::	auto	18:29

# text = exhibiting or requiring the wisdom of Solomon in making difficult decisions
# id = 02799446-a-1
# type = def
1	exhibiting	wf	VBG	exhibit%2	_	un	0:10
2	or	wf	CC	or	_	ignore	11:13
3	requiring	wf	VBG	require%2	require%2:42:00::	man	14:23
4	the	wf	DT	the	_	ignore	24:27
5	wisdom	wf	NN	wisdom%1	wisdom%1:07:00::|wisdom%1:07:01::|wisdom%1:09:02::|wisdom%1:09:01::	man	28:34
6	of	wf	IN	of	_	ignore	35:37
7	Solomon	wf	NNP	Solomon%1	solomon%1:18:00::	auto	38:45
8	in	wf	IN	in	_	ignore	46:48
9	making	wf	VBG	making%1|make%2	make%2:36:12::	man	49:55
10	difficult	wf	JJ	difficult%3	_	un	56:65
11	decisions	wf	NNS	decision%1	decision%1:09:00::	man	66:75

# text = of or relating to plants of the family Solanaceae (the potato family)
# id = 02799301-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	plants	wf	NNS	plant%1|plant%2	plant%1:03:00::	man	18:24
6	of	wf	IN	of	_	ignore	25:27
7	the	wf	DT	the	_	ignore	28:31
8	_	glob|a	_	family_Solanaceae%1	family_solanaceae%1:20:00::	auto	_
9	family	cf|a	NN	family%1	_	un	32:38
10	Solanaceae	cf|a	NNP	Solanaceae%1	_	un	39:49
11	(	wf	punc	_	_	ignore	50:51
12	the	wf	DT	the	_	ignore	51:54
13	_	glob|b	_	potato_family%1	potato_family%1:20:00::	auto	_
14	potato	cf|b	NN	potato%1	_	un	55:61
15	family	cf|b	NN	family%1	_	un	62:68
16	)	wf	punc	_	_	ignore	68:69

# text = destructive to spermatozoa
# id = 02800427-a-1
# type = def
1	destructive	wf	JJ	destructive%3	destructive%3:00:00::	auto	0:11
2	to	wf	TO	to	_	ignore	12:14
3	spermatozoa	wf	NN	spermatozoon%1	spermatozoon%1:08:00::	auto	15:26

# text = characterized by squinting; 
# id = 02799877-a-1
# type = def
1	characterized	wf	VBN	characterize%2	_	un	0:13
2	by	wf	IN	by	_	ignore	14:16
3	squinting	wf	JJ	squint%2|squinting%3	squinting%5:00:00:closed:03	man	17:26
4	;	wf	punc	_	_	ignore	26:27

# text = he looked with squinty eyes
# id = 02799877-a-2
# type = ex
1	he	wf	_	he	_	ignore	0:2
2	looked	wf	_	look%2	_	un	3:9
3	with	wf	_	with	_	ignore	10:14
4	squinty	wf	_	squinty%3	squinty%3:01:00::	auto	15:22
5	eyes	wf	_	eye%1|eyes%1|eye%2	_	un	23:27

# text = of or related to or characteristic of specialists
# id = 02799988-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	related	wf	VBN	relate%2|related%3	related%3:00:02::	man	6:13
4	to	wf	TO	to	_	ignore	14:16
5	or	wf	CC	or	_	ignore	17:19
6	characteristic	wf	JJ	characteristic%1|characteristic%3	characteristic%3:00:00::	man	20:34
7	of	wf	IN	of	_	ignore	35:37
8	specialists	wf	NNS	specialist%1	specialist%1:18:00::	man	38:49

# text = consisting of or resembling spermatozoa
# id = 02800529-a-1
# type = def
1	consisting	wf	VBG	consist%2	_	un	0:10
2	of	wf	IN	of	_	ignore	11:13
3	or	wf	CC	or	_	ignore	14:16
4	resembling	wf	VBG	resemble%2	resemble%2:42:00::	auto	17:27
5	spermatozoa	wf	NN	spermatozoon%1	spermatozoon%1:08:00::	auto	28:39

# text = not spherical
# id = 02800851-a-1
# type = def
1	not	wf	RB	not%4	not%4:02:00::	auto	0:3
2	spherical	wf	JJ	spherical%3	_	un	4:13

# text = relating to or employing a spectrograph
# id = 02800291-a-1
# type = def
1	relating	wf	VBG	relate%2	relate%2:42:00::	man	0:8
2	to	wf	IN	to	_	ignore	9:11
3	or	wf	CC	or	_	ignore	12:14
4	employing	wf	VBG	employ%2	employ%2:34:00::	man	15:24
5	a	wf	DT	a	_	ignore	25:26
6	spectrograph	wf	NN	spectrograph%1	spectrograph%1:06:00::	man	27:39

# text = relating to or derived from the sun or utilizing the energies of the sun; 
# id = 02799016-a-1
# type = def
1	relating	wf	VBG	relate%2	relate%2:42:00::	man	0:8
2	to	wf	IN	to	_	ignore	9:11
3	or	wf	CC	or	_	ignore	12:14
4	derived	wf	VBN	derive%2|derived%3	derive%2:30:01::	man	15:22
5	from	wf	IN	from	_	ignore	23:27
6	the	wf	DT	the	_	ignore	28:31
7	sun	wf	NN	sun%1|sun%2	sun%1:17:00::	man	32:35
8	or	wf	CC	or	_	ignore	36:38
9	utilizing	wf	VBG	utilize%2	utilize%2:34:00::	man	39:48
10	the	wf	DT	the	_	ignore	49:52
11	energies	wf	NNS	energy%1	_	un	53:61
12	of	wf	IN	of	_	ignore	62:64
13	the	wf	DT	the	_	ignore	65:68
14	sun	wf	NN	sun%1|sun%2	sun%1:17:00::	man	69:72
15	;	wf	punc	_	_	ignore	72:73

# text = solar eclipse
# id = 02799016-a-2
# type = ex
1	solar	wf	_	solar%3	solar%3:01:00::	auto	0:5
2	eclipse	wf	_	eclipse%1|eclipse%2	_	un	6:13

# text = solar energy
# id = 02799016-a-3
# type = ex
1	solar	wf	_	solar%3	solar%3:01:00::	auto	0:5
2	energy	wf	_	energy%1	_	un	6:12

# text = characterized by water flying about haphazardly
# id = 02801037-a-1
# type = def
1	characterized	wf	VBN	characterize%2	_	un	0:13
2	by	wf	IN	by	_	ignore	14:16
3	water	wf	NN	water%1|water%2	water%1:27:00::	man	17:22
4	flying	wf	JJ	flying%1|fly%2|flying%3	flying%1:04:00::|fly%2:38:00::	man	23:29
5	about	wf	RB	about%3|about%4	_	un	30:35
6	haphazardly	wf	RB	haphazardly%4	haphazardly%4:02:00::	man	36:47

# text = resembling a sphinx; 
# id = 02800941-a-1
# type = def
1	resembling	wf	VBG	resemble%2	resemble%2:42:00::	auto	0:10
2	a	wf	DT	a	_	ignore	11:12
3	sphinx	wf	NN	sphinx%1	sphinx%1:18:02::	man	13:19
4	;	wf	punc	_	_	ignore	19:20

# text = a sphingine smile
# id = 02800941-a-2
# type = ex
1	a	wf	_	a	_	ignore	0:1
2	sphingine	wf	_	sphingine%3	sphingine%3:01:00::	auto	2:11
3	smile	wf	_	smile%1|smile%2	_	un	12:17

# text = relating to or belonging to or characteristic of high society; 
# id = 02798597-a-1
# type = def
1	relating	wf	VBG	relate%2	relate%2:42:00::	man	0:8
2	to	wf	IN	to	_	ignore	9:11
3	or	wf	CC	or	_	ignore	12:14
4	_	glob|b	_	belong_to%2	belong_to%2:42:00::	man	_
5	belonging	cf|b	VBG	belonging%1|belong%2	_	un	15:24
6	to	cf|b	IN	to	_	ignore	25:27
7	or	wf	CC	or	_	ignore	28:30
8	characteristic	wf	JJ	characteristic%1|characteristic%3	characteristic%3:00:00::	man	31:45
9	of	wf	IN	of	_	ignore	46:48
10	_	glob|a	_	high_society%1	high_society%1:14:00::	auto	_
11	high	cf|a	JJ	high%1|high%3|high%4	_	un	49:53
12	society	cf|a	NN	society%1	_	un	54:61
13	;	wf	punc	_	_	ignore	61:62

# text = made fun of her being so social and high-toned
# id = 02798597-a-2
# type = ex
1	made	wf	_	make%2|made%3	_	un	0:4
2	fun	wf	_	fun%1	_	un	5:8
3	of	wf	_	of	_	ignore	9:11
4	her	wf	_	her	_	ignore	12:15
5	being	wf	_	being%1|be%2	_	un	16:21
6	so	wf	_	so%1|so%4	_	un	22:24
7	social	wf	_	social%1|social%3	social%3:01:02::	auto	25:31
8	and	wf	_	and	_	ignore	32:35
9	high-toned	wf	_	high-toned%3	_	un	36:46

# text = a social gossip colum
# id = 02798597-a-3
# type = ex
1	a	wf	_	a	_	ignore	0:1
2	social	wf	_	social%1|social%3	social%3:01:02::	auto	2:8
3	gossip	wf	_	gossip%1|gossip%2	_	un	9:15
4	colum	wf	_	colum	_	un	16:21

# text = the society page
# id = 02798597-a-4
# type = ex
1	the	wf	_	the	_	ignore	0:3
2	society	wf	_	society%1	_	un	4:11
3	page	wf	_	page%1|page%2	_	un	12:16

# text = of or relating to the spleen
# id = 02801156-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	the	wf	DT	the	_	ignore	18:21
6	spleen	wf	NN	spleen%1	spleen%1:08:00::	man	22:28

# text = producing spores or reproducing by means of spores
# id = 02801641-a-1
# type = def
1	producing	wf	VBG	produce%2	produce%2:36:02::	man	0:9
2	spores	wf	NNS	spore%1	spore%1:20:00::	auto	10:16
3	or	wf	CC	or	_	ignore	17:19
4	reproducing	wf	VBG	reproduce%2	_	un	20:31
5	by	wf	IN	by	_	ignore	32:34
6	means	wf	NN	mean%1|means%1|mean%2	_	ignore	35:40
7	of	wf	IN	of	_	ignore	41:43
8	spores	wf	NNS	spore%1	spore%1:20:00::	auto	44:50

# text = relating to or interested in sports
# id = 02801749-a-1
# type = def
1	relating	wf	VBG	relate%2	relate%2:42:00::	man	0:8
2	to	wf	IN	to	_	ignore	9:11
3	or	wf	CC	or	_	ignore	12:14
4	interested	wf	VBN	interest%2|interested%3	interested%3:00:00::|interest%2:37:00::	man	15:25
5	in	wf	IN	in	_	ignore	26:28
6	sports	wf	NNS	sport%1|sport%2	sport%1:04:00::	man	29:35

# text = of or relating to a spectrum; 
# id = 02800132-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	a	wf	DT	a	_	ignore	18:19
6	spectrum	wf	NN	spectrum%1	_	un	20:28
7	;	wf	punc	_	_	ignore	28:29

# text = spectral colors
# id = 02800132-a-2
# type = ex
1	spectral	wf	_	spectral%3	spectral%3:01:00::	auto	0:8
2	colors	wf	_	color%1|colors%1|color%2	_	un	9:15

# text = spectral analysis
# id = 02800132-a-3
# type = ex
1	spectral	wf	_	spectral%3	spectral%3:01:00::	auto	0:8
2	analysis	wf	_	analysis%1	_	un	9:17

# text = containing a compressed spring that presses one part against another
# id = 02802092-a-1
# type = def
1	containing	wf	VBG	contain%2	_	un	0:10
2	a	wf	DT	a	_	ignore	11:12
3	compressed	wf	JJ	compress%2|compressed%3	compressed%5:00:00:closed:03	man	13:23
4	spring	wf	NN	spring%1|spring%2	spring%1:06:00::	man	24:30
5	that	wf	WDT	that	_	ignore	31:35
6	presses	wf	VBZ	press%1|press%2	_	un	36:43
7	one	wf	CD	one	_	ignore	44:47
8	part	wf	NN	part%1|part%2|part%4	_	un	48:52
9	against	wf	IN	against	_	ignore	53:60
10	another	wf	PRP	another	_	ignore	61:68

# text = relating to human society and its members; 
# id = 02798370-a-1
# type = def
1	relating	wf	VBG	relate%2	relate%2:42:00::	man	0:8
2	to	wf	TO	to	_	ignore	9:11
3	human	wf	JJ	human%1|human%3	human%3:01:00::	man	12:17
4	society	wf	NN	society%1	society%1:14:00::	man	18:25
5	and	wf	CC	and	_	ignore	26:29
6	its	wf	PRP$	its	_	ignore	30:33
7	members	wf	NNS	member%1	_	un	34:41
8	;	wf	punc	_	_	ignore	41:42

# text = social institutions
# id = 02798370-a-2
# type = ex
1	social	wf	_	social%1|social%3	social%3:01:00::	auto	0:6
2	institutions	wf	_	institution%1	_	un	7:19

# text = societal evolution
# id = 02798370-a-3
# type = ex
1	societal	wf	_	societal%3	societal%3:01:00::	auto	0:8
2	evolution	wf	_	evolution%1	_	un	9:18

# text = societal forces
# id = 02798370-a-4
# type = ex
1	societal	wf	_	societal%3	societal%3:01:00::	auto	0:8
2	forces	wf	_	force%1|force%2	_	un	9:15

# text = social legislation
# id = 02798370-a-5
# type = ex
1	social	wf	_	social%1|social%3	social%3:01:00::	auto	0:6
2	legislation	wf	_	legislation%1	_	un	7:18

# text = characteristic of or promoting stagflation
# id = 02802220-a-1
# type = def
1	characteristic	wf	JJ	characteristic%1|characteristic%3	characteristic%3:00:00::	man	0:14
2	of	wf	IN	of	_	ignore	15:17
3	or	wf	CC	or	_	ignore	18:20
4	promoting	wf	VBG	promote%2	_	un	21:30
5	stagflation	wf	NN	stagflation%1	stagflation%1:22:00::	auto	31:42

# text = relating to a spouse; 
# id = 02801964-a-1
# type = def
1	relating	wf	VBG	relate%2	relate%2:42:00::	man	0:8
2	to	wf	IN	to	_	ignore	9:11
3	a	wf	DT	a	_	ignore	12:13
4	spouse	wf	NN	spouse%1	spouse%1:18:00::	auto	14:20
5	;	wf	punc	_	_	ignore	20:21

# text = a fitting symbol of spousal love
# id = 02801964-a-2
# type = ex
1	a	wf	_	a	_	ignore	0:1
2	fitting	wf	_	fitting%1|fit%2|fitting%3	_	un	2:9
3	symbol	wf	_	symbol%1	_	un	10:16
4	of	wf	_	of	_	ignore	17:19
5	spousal	wf	_	spousal%3	spousal%3:01:00::	auto	20:27
6	love	wf	_	love%1|love%2	_	un	28:32

# text = of or relating to Joseph Stalin or his times
# id = 02802476-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	_	glob|a	_	Joseph_Stalin%1	joseph_stalin%1:18:00::	auto	_
6	Joseph	cf|a	NNP	Joseph%1	_	un	18:24
7	Stalin	cf|a	NNP	Stalin%1	_	un	25:31
8	or	wf	CC	or	_	ignore	32:34
9	his	wf	PRP$	his	_	ignore	35:38
10	times	wf	NNS	time%1|times%1|time%2	_	un	39:44

# text = of or relating to spheres or resembling a sphere; 
# id = 02800689-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	spheres	wf	NNS	sphere%1	sphere%1:06:00::|sphere%1:25:00::|sphere%1:25:01::	man	18:25
6	or	wf	CC	or	_	ignore	26:28
7	resembling	wf	VBG	resemble%2	resemble%2:42:00::	auto	29:39
8	a	wf	DT	a	_	ignore	40:41
9	sphere	wf	NN	sphere%1	sphere%1:25:00::|sphere%1:06:00::|sphere%1:25:01::	man	42:48
10	;	wf	punc	_	_	ignore	48:49

# text = spherical geometry
# id = 02800689-a-2
# type = ex
1	spherical	wf	_	spherical%3	spherical%3:01:00::	auto	0:9
2	geometry	wf	_	geometry%1	_	un	10:18

# text = of or relating to or containing tin
# id = 02802576-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	or	wf	CC	or	_	ignore	18:20
6	containing	wf	VBG	contain%2	_	un	21:31
7	tin	wf	NN	tin%1|tin%2	tin%1:27:00::	man	32:35

# text = capable of being stained (especially of cells and cell parts)
# id = 02802341-a-1
# type = def
1	capable	wf	JJ	capable%3	capable%3:00:00::	man	0:7
2	of	wf	IN	of	_	ignore	8:10
3	being	wf	VBG	being%1|be%2	_	un	11:16
4	stained	wf	JJ	stain%2|stained%3	stain%2:30:04::	man	17:24
5	(	wf	punc	_	_	ignore	25:26
6	especially	wf	RB	especially%4	_	ignore	26:36
7	of	wf	IN	of	_	ignore	37:39
8	cells	wf	NNS	cell%1	cell%1:03:00::	man	40:45
9	and	wf	CC	and	_	ignore	46:49
10	cell	wf	NN	cell%1	cell%1:03:00::	man	50:54
11	parts	wf	NNS	part%1|parts%1|part%2	_	un	55:60
12	)	wf	punc	_	_	ignore	60:61

# text = of or relating to the staphylococcus bacteria; 
# id = 02802694-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	the	wf	DT	the	_	ignore	18:21
6	staphylococcus	wf	NN	staphylococcus%1	staphylococcus%1:05:00::	man	22:36
7	bacteria	wf	NNS	bacteria%1|bacterium%1	bacteria%1:05:00::	man	37:45
8	;	wf	punc	_	_	ignore	45:46

# text = a staphylococcal infection
# id = 02802694-a-2
# type = ex
1	a	wf	_	a	_	ignore	0:1
2	staphylococcal	wf	_	staphylococcal%3	staphylococcal%3:01:00::	auto	2:16
3	infection	wf	_	infection%1	_	un	17:26

# text = of or relating to a textual stemma
# id = 02803299-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	a	wf	DT	a	_	ignore	18:19
6	textual	wf	JJ	textual%3	textual%3:01:00::	auto	20:27
7	stemma	wf	NN	stemma%1	stemma%1:25:00::	man	28:34

# text = of or relating to or employing stenography
# id = 02803389-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	or	wf	CC	or	_	ignore	18:20
6	employing	wf	VBG	employ%2	employ%2:34:00::	man	21:30
7	stenography	wf	NN	stenography%1	stenography%1:10:00::	man	31:42

# text = of or relating to stoichiometry
# id = 02803876-a-1
# type = def
1	of	wf	IN	of	_	ignore	0:2
2	or	wf	CC	or	_	ignore	3:5
3	relating	wf	VBG	relate%2	relate%2:42:00::	man	6:14
4	to	wf	IN	to	_	ignore	15:17
5	stoichiometry	wf	NN	stoichiometry%1	stoichiometry%1:24:00::	auto	18:31

# text = resembling or consisting of or embedded with long slender fragments of (especially) wood having sharp points; 
# id = 02801349-a-1
# type = def
1	resembling	wf	VBG	resemble%2	resemble%2:42:00::	auto	0:10
2	or	wf	CC	or	_	ignore	11:13
3	consisting	wf	VBG	consist%2	_	un	14:24
4	of	wf	IN	of	_	ignore	25:27
5	or	wf	CC	or	_	ignore	28:30
